Semana;Carga
1;43231
2;41038
3;40694
4;39387
5;40650
6;37688
7;40928
8;39572
9;38564
10;38862
11;38263
12;36757
13;37354
14;36607
15;36955
16;36085
17;34595
18;35221
19;34463
20;34295
21;34007
22;34751
23;35246
24;31881
25;33234
26;33632
27;34161
28;33458
29;34457
30;34205
31;34070
32;35488
33;37418
34;39196
35;35982
36;36047
37;36642
38;38467
39;36970
40;39361
41;38936
42;36999
43;35703
44;36530
45;36855
46;37189
47;38757
48;35028
49;36089
50;39052
51;41264
52;38475
53;40283
54;40432
55;38842
56;41980
57;36906
58;37249
59;39453
60;41009
61;34934
62;35083
63;32508
64;31409
65;30798
66;31695
67;31353
68;31343
69;30582
70;31385
71;32270
72;32934
73;34671
